title,price,description
Пухова куртка Turbat Lofoten Mns,4 950 грн,"['\n\nTurbat Lofoten Mns - тепла, чоловіча пухова куртка середньої товщини для зимових подорожей, бівака та базового табору. Виготовлена із легкого японського 20D нейлону з армуванням Rip-Stop з водовідштовхувальною обробкою DWR. Наповнювач – український гусячий пух з вологовідштовхуючою обробкою та пружністю FP750, що забезпечує відмінну теплоізоляцію при малій вазі куртки. Під час середньої активності та відсутності сильного вітру, ця куртка комфортна для температури від -10°C до 0°C.\n\r\n\tЕргономічний капюшон із затяжками надійно захистить від вітру під час зимових пригод. В куртці теплі кишені для рук, зовнішня нагрудна кишеня та велика внутрішня кишеня для рукавиць, шапки чи будь-чого, що потрібно зберігати в теплі під час мандрівки. Куртка є продовженням серії Smotrych\xa02019 року з оновленою тканиною верху та додатковою кишенею всередині.\n\nПризначення: зимові мандрівки, походи в гори, базові табори, подорожі до країни Скандинавії, зимові Карпати.\n\nОсобливості:\r\n\t- водовідштовхувальна обробка DWR\r\n\t- наповнювач - український гусячий пух FP750 (згідно сертифікації IDLF у Швейцарії)\r\n\t- ергономічний капюшон із затяжкою\r\n\t- багато кишень: дві для рук, одна нагрудна та внутрішня\n\nТехнічні характеристики:\r\n\tНаповнювач: український пух FP750\r\n\tМатеріал верху: нейлон 20D DWR Rip-Stop\r\n\tМатеріал підкладки: нейлон 20D\r\n\tВага пуху: 155 г (розмір M)\r\n\tТемпература комфорту при середній активності: від -10°C до 0°C\r\n\tПружність пуху FP 750, показники підтверджені сертифікатом швейцарського інституту IDFL Europe AG\n\n\n\n\n\n\n\n']"
Пухова куртка Turbat Lofoten Wms,4 950 грн,"['\n\nTurbat Lofoten Wms - тепла, жіноча пухова куртка середньої товщини для зимових подорожей, бівака та базового табору. Виготовлена із легкого японського 20D нейлону з армуванням Rip-Stop з водовідштовхувальною обробкою DWR. Наповнювач – український гусячий пух з вологовідштовхуючою обробкою та пружністю FP750, що забезпечує відмінну теплоізоляцію при малій вазі куртки. Під час середньої активності та відсутності сильного вітру, ця куртка комфортна для температури від -10°C до 0°C.\n\r\n\tЕргономічний капюшон із затяжками надійно захистить від вітру під час зимових пригод. В куртці теплі кишені для рук, зовнішня нагрудна кишеня та велика внутрішня кишеня для рукавиць, шапки чи будь-чого, що потрібно зберігати в теплі під час мандрівки. Куртка є продовженням серії Smotrych\xa02019 року з оновленою тканиною верху та додатковою кишенею всередині.\n\nПризначення: зимові мандрівки, походи в гори, базові табори, подорожі до країни Скандинавії, зимові Карпати.\n\nОсобливості:\r\n\t- водовідштовхувальна обробка DWR\r\n\t- наповнювач - український гусячий пух FP750 (згідно сертифікації IDLF у Швейцарії)\r\n\t- ергономічний капюшон із затяжкою\r\n\t- багато кишень: дві для рук, одна нагрудна та внутрішня\n\nТехнічні характеристики:\r\n\tНаповнювач: український пух FP750\r\n\tМатеріал верху: нейлон 20D DWR\r\n\tМатеріал підкладки: нейлон 20D\r\n\tВага куртки: 400 г (розмір S)\r\n\tВага пуху: 135 г (розмір S)\r\n\tТемпература комфорту при середній активності: від -10°C до 0°C\r\n\tПружність пуху FP 750, показники підтверджені сертифікатом швейцарського інституту IDFL Europe AG\n\n\n\n\n\n\n\n']"
Куртка Turbat Trek Urban Mns ,3 655 грн2 924 грн,"['\n\r\n\tЧоловіча пухова куртка для подорожей та використання щодня. Її універсальний та стильний дизайн добре комбінується з міським одягом. Український гусячий пух пружністю 750 FP, надійно збереже від холоду. Завдяки гідрофобній обробці Ruco-GEN FBL пух не буде збиватись при намоканні.\n\r\n\tВ порівнянні з Trek, версія Urban зроблена з більш міцного та щільного матеріалу, що краще зберігає вигляд куртки при інтенсивному щоденному використанні.\n\r\n\tЄ дві збільшені кишені для рук на блискавках, з утепленням з мікрофлісу та ще більша внутрішня кишеня для гаманця, документів чи смартфону і гачок для ключів. Куртка зручно пакується у власну кишеню і не займає багато місця. Це ідеальний вибір верхнього одягу для міської зими та міжсезоння, актуальний і для міста, і для подорожей.\n\nПризначення:\xa0щоденне використання у місті, подорожі містами, легкі походи в гори.\n\nОсобливості:\r\n\t- стійкий до зносу зовнішній матеріал\r\n\t- дві кишені для рук на блискавках, з утепленням з мікрофлісу\r\n\t- внутрішня кишеня на блискавці\r\n\t- складається у власну кишеню\r\n\t- гачок для ключів у кишені\r\n\t- універсальний дизайн для міста\n\nТехнічні характеристики:\r\n\tНаповнювач: український пух FP 750\r\n\tМатеріал верху: нейлон 30D DWR\r\n\tМатеріал підкладки: нейлон 20D\r\n\tВага: 385 г (розмір М)\r\n\tВага пуху: 120 г\r\n\tПружність пуху FP 750, показники підтверджені сертифікатом швейцарського інституту IDFL Europe AG\n\n\n\n']"
Куртка Turbat Trek Urban Wmn,3 655 грн2 924 грн,"['\n\r\n\tЖіноча пухова куртка для подорожей та використання щодня. Її універсальний та стильний дизайн добре комбінується з міським одягом. Така куртка дозволить виглядати модно, а якісний наповнювач - український гусячий пух 750 FP, надійно збереже від холоду. Завдяки гідрофобній обробці Ruco-GEN FBL пух не буде збиватись при намоканні.\n\r\n\tВ порівнянні з Trek, версія Urban зроблена з більш міцного та щільного матеріалу, що краще зберігає вигляд куртки при інтенсивному використанні.\n\r\n\tЄ дві збільшені кишені для рук на блискавках, з утепленням з мікрофлісу та ще більша внутрішня кишеня для гаманця, документів чи смартфону і гачок для ключів. Куртка зручно пакується у власну кишеню і не займає багато місця. Це ідеальний вибір верхнього одягу для міської зими та міжсезоння, актуальний і для міста, і для подорожей.\n\nПризначення:\xa0щоденне використання у місті, подорожі містами, легкі походи в гори.\n\nОсобливості:\r\n\t- український гусячий пух 750 FP\r\n\t- стійкий до зносу зовнішній матеріал\r\n\t- дві кишені для рук на блискавках, з утепленням з мікрофлісу\r\n\t- внутрішня кишеня на блискавці\r\n\t- складається у власну кишеню\r\n\t- гачок для ключів у кишені\r\n\t- універсальний дизайн для міста\n\nТехнічні характеристики:\r\n\tНаповнювач: український пух FP 750\r\n\tМатеріал верху: нейлон 30D DWR\r\n\tМатеріал підкладки: нейлон 20D\r\n\tВага: 360 г (розмір S)\r\n\tВага пуху: 120 г\r\n\tПружність пуху FP 750, показники підтверджені сертифікатом швейцарського інституту IDFL Europe AG\r\n\t\xa0\n\n']"
Куртка Salewa Puez Clastic 2 Powertex 2L Jacket Mns,6 424 грн,"['\n\r\n\tЧоловіча куртка від знаменитого бренду Salewa. Ефективний захист від дощу та вітру гарантує повітропроникна мембрана Powertex. Анатомічний крій дарує повну свободу рухів. Завдяки цьому, спинка залишається на своєму місці, навіть під час активного відпочинку на природі. Поділ куртки регулюється еластичною шнурівкою, на манжетах є липучки.\n\r\n\tДля регуляції тепла та додаткового комфорту під пахвами є вентиляційні блискавки. Капюшон (регулюється) з високим воротом забезпечать надійний захист від пронизливого вітру в горах. Усі шви міцні й спаяні. Для дрібниць є дві кишені для рук та одна внутрішня кишеня. Головна блискавка та блискавки на кишенях водонепроникні. Поєднання відомого бренду Salewa та якісних технологій дозволять почуватись комфортно у мандрівках та гірських походах.\n\nПризначення: походи в Карпати, мандри до країн Скандинавії, піший туризм, хайкінг, трекінг.\n\nОсобливості:\r\n\t- чоловіча\r\n\t- мембрана Powertex — повітропроникна, захищає від дощу та вітру\r\n\t- анатомічний крій — свобода рухів\r\n\t- поділ куртки регулюється\r\n\t- вентиляційні блискавки під пахвами\r\n\t- капюшон регулюється, з високим воротом\r\n\t- шви міцні й спаяні\r\n\t- дві кишені для рук на блискавках\r\n\t- одна внутрішня кишеня\r\n\t- головна блискавка та блискавки на кишенях водонепроникні\n\nДогляд та прання:\nЯк доглядати за мембранною курткою?\nЗасоби для прання та догляду за курткою\n\nТехнічні характеристики:\r\n\tМатеріал: Powertex Active 2L 10k/10k T-Square 90 (100% PL)\r\n\tПросочення: Durable Water Repellent C6\r\n\tПідкладка: PA Taffeta ECO DWR 67 BS (100% PA)\r\n\tДовжина спини: 76 см (розмір L)\r\n\tВага: 470 г (розмір L)\n\nМатеріали і технології:\nPowertex — матеріал, розроблений для забезпечення правильного поєднання продуктивності, ваги, довговічності і комфорту. Він має водонепроникну мембрану на основі поліуретану. Під час будь-яких спортивних активностей дихаюча мембрана виводить зайву вологу назовні, зменшуючи внутрішню конденсацію та підтримує комфортний мікроклімат.\r\n\t\xa0\n\n']"
Куртка Salewa Puez Clastic 2 Powertex 2L Jacket Wms,6 424 грн,"[""\n\r\n\tЛегка, надійна, універсальна жіноча куртка, виготовлена із застосуванням двошарової мембранної тканини Powertex. Дуже функціональна та продумана до найменших деталей модель. Це надійний захист від вітру та дощу під час негоди в горах. Для регуляції тепла та додаткового комфорту під пахвами є вентиляційні блискавки. Капюшон з високим коміром забезпечить надійний захист від пронизливого вітру в горах. Усі шви міцні й спаяні.\n\r\n\tДля дрібниць є дві кишені для рук та одна внутрішня кишеня. Основна блискавка та блискавки на кишенях водонепроникні. Поєднання відомого бренду Salewa та якісних технологій дозволять почуватись комфортно у мандрівках та гірських походах. Ідеально підходить для багатоденних турів горами, таких як Alta Vie у Доломітах.\n\nПризначення:  трекінг, хайкінг, використання у місті.\n\nОсобливості: \r\n\t- універсальна\r\n\t- легка\r\n\t- має водо- та вітрозахисні, паропропускні властивості\r\n\t- фіксований капюшон, що регулюється\r\n\t- рукави ергономічної форми\r\n\t- легкі, еластичні зав'язки на манжетах та знизу куртки\r\n\t- передня блискавка з внутрішньою вітрозахисною вставкою\r\n\t- 2 зовнішні кишені на блискавці та одна внутрішня\r\n\t- прямий крій\r\n\t- шви міцні, спаяні\n\nТехнічні характеристики: \r\n\tМатеріал: Powertex Active 2L 10k/10k T-SQUARE 90 (100% Polyester)\r\n\tПросочення: Durable Water Repellent C6\r\n\tПідкладка: PA Taffeta ECO DWR 67 BS (100% PA)\r\n\tДовжина спини: 69 см (розмір L)\r\n\tВага: 390 г (розмір L)\r\n\tХарактеристики мембрани:\r\n\t- водонепроникність 10 000 мм\r\n\t- повітропроникність 10 000 г/м2\n\nМатеріали і технології: \nРowertex -\xa0мембрана, яка має високі показники дихання, вітро- та водонепроникності, відштовхує воду і має високу міцність. Забезпечує тепло, сухість і комфорт.\r\n\t\xa0\n\n""]"
Куртка Salewa Fanes 2 Powertex/Tirolwool Celliant Mns Jacket,11 824 грн9 459 грн,"['\n\nSalewa Fanes 2 Powertex/Tirolwool Celliant Mns Jacket - стильна чоловіча куртка, яка зігріє у холодну пору року. Двошарова водонепроникна і дихаюча мембрана Powertex подарує комфорт під час вологої погоди. Ізоляційні вставки TirolWool Celliant з DWF (міцний водовідштовхувальний матеріал) та вовною гірських баранів чудово зберігають тепло навіть у вологих умовах, саме тому вони розташовані на капюшоні, плечах і манжетах. Куртка повністю безпечна для людини і навколишнього середовища (PFC-free). Капюшон регулюється, із високим воротом, є манжети з липучками. Крій ергономічний, куртка зі спортивною посадкою. Є дві кишені на блискавках для рук, одна нагрудна кишеня, також на блискавці, внутрішня кишеня на блискавці і одна велика сітчаста внутрішня кишеня на блискавці (усі блискавки водонепроникні). Куртка відмінно підійде для щоденного використання у місті, гірських мандрівок та подорожей.\n\nОсобливості:\r\n\t- чоловіча\r\n\t- мембрана Powertex\r\n\t- ізоляційні вставки TirolWool Celliant\r\n\t- вовна гірських баранів\r\n\t- PFC-free – повністю безпечна для людини і навколишнього середовища\r\n\t- капюшон регулюється, з високим воротом\r\n\t- манжети на липучках\r\n\t- ергономічний крій\r\n\t- спортивна посадка\r\n\t- дві кишені на блискавках для рук\r\n\t- одна нагрудна кишеня на блискавці\r\n\t- внутрішня кишеня на блискавці\r\n\t- одна велика сітчаста внутрішня кишеня на блискавці\r\n\t- усі блискавки водонепроникні\n\nДогляд та прання:\nЯк доглядати за мембранною курткою?\nЗасоби для прання та догляду за курткою\n\nТехнічні характеристики:\r\n\tМатеріал: Powertex Extreme 2L 10k/10k Ecoya 157 ECO DWR (100% PA)\r\n\tПідкладка: PA 40D Plain Downproof 60 BS (100% PA)\r\n\tПросочення: Durable Water Repellent - PFC Free\r\n\tНаповнювач: Tirol Wool Celliant 160 (60% PL 40% WO)\r\n\tВага: 1037г (розмір 50/L)\r\n\tДовжина спини: 80cм (розмір 50/L)\n\nМатеріали і технології:\nPowertex - двошарова водонепроникна і дихаюча мембрана. Відводить молекули водяного пару, які з`являються під час потовиділення.\nTirolWool Celliant - ізоляційні вставки, які чудово зберігають тепло навіть у вологих умовах, саме тому вони розташовані на капюшоні, плечах і манжетах.\r\n\t\xa0\n\n']"
Куртка Salewa Fanes 2 Powertex/Tirolwool Celliant Wms Parka,11 824 грн9 459 грн,"['\n\nSalewa Fanes 2 Powertex/Tirolwool Celliant Wms Parka - стильна жіноча куртка, яка зігріє у холодну пору року. Двошарова водонепроникна і дихаюча мембрана Powertex подарує комфорт під час вологої погоди. Ізоляційні вставки TirolWool Celliant з DWF (міцний водовідштовхувальний матеріал) та вовною гірських баранів чудово зберігають тепло навіть у вологих умовах, саме тому вони розташовані на капюшоні, плечах і манжетах. Куртка повністю безпечна для людини і навколишнього середовища (PFC-free). Капюшон регулюється, із високим воротом, є манжети з липучками. Крій ергономічний, куртка зі спортивною посадкою. Є дві кишені на блискавках для рук, одна нагрудна кишеня, також на блискавці, внутрішня кишеня на блискавці і одна велика сітчаста внутрішня кишеня на блискавці (усі блискавки водонепроникні). Куртка відмінно підійде для щоденного використання у місті, гірських мандрівок та подорожей.\n\nОсобливості:\r\n\t- жіноча\r\n\t- мембрана Powertex\r\n\t- ізоляційні вставки TirolWool Celliant\r\n\t- вовна гірських баранів\r\n\t- PFC-free – повністю безпечна для людини і навколишнього середовища\r\n\t- капюшон регулюється, з високим воротом\r\n\t- манжети на липучках\r\n\t- ергономічний крій\r\n\t- спортивна посадка\r\n\t- дві кишені на блискавках для рук\r\n\t- одна нагрудна кишеня на блискавці\r\n\t- внутрішня кишеня на блискавці\r\n\t- одна велика сітчаста внутрішня кишеня на блискавці\r\n\t- усі блискавки водонепроникні\n\nДогляд та прання:\nЯк доглядати за мембранною курткою?\nЗасоби для прання та догляду за курткою\n\nТехнічні характеристики:\r\n\tМатеріал: Powertex Extreme 2L 10k/10k Ecoya 157 ECO DWR (100% PA)\r\n\tПідкладка: PA 40D Plain Downproof 60 BS (100% PA)\r\n\tПросочення: Durable Water Repellent - PFC Free\r\n\tНаповнювач: Tirol Wool Celliant 160 (60% PL 40% WO)\r\n\tВага: 909г (розмір 44/38)\r\n\tДовжина спини: 80cм (розмір 44/38)\n\nМатеріали і технології:\nPowertex - двошарова водонепроникна і дихаюча мембрана. Відводить молекули водяного пару, які з`являються під час потовиділення.\nTirolWool Celliant - ізоляційні вставки, які чудово зберігають тепло навіть у вологих умовах, саме тому вони розташовані на капюшоні, плечах і манжетах.\r\n\t\xa0\n\n']"
Куртка Salewa Antelao Beltovo Mns,9 459 грн7 567 грн,"[""\n\r\n\tУтеплена чоловіча куртка для гірськолижного туризму від надійного бренду\xa0Salewa.\xa0Cтворена для захисту від негоди на підйомах та спусках. Стане вашою улюбленою курткою для катання на лижах або сноуборді.\n\r\n\tВона легка, еластична, добре тягнеться в 4 сторони та не сковує рухів, що важливо під час катання.\xa0 Двошарова водонепроникна і дихаюча мембрана Powertex подарує комфорт під час негоди. Наповнювач - Tirol wool, усі шви спаяні.\n\r\n\tКапюшон утеплений, має вбудований м`який комір (також утеплений). Передня блискавка водонепроникна. Є дві кишені для рук, нагрудна кишеня, дві внутрішні кишені. Усі кишені з водонепроникними блискавками. Рукава ергономічної форми, манжети з липучками. Поділ регулюється, є снігова спідниця Zip-off. Така куртка стане незамінною під час гірськолижного сезону.\n\r\n\tРекомендуємо використовувати з штанами\xa0Salewa Antelao Beltovo Mns.\n\nПризначення:  альпінізм, катання на лижах чи сноуборді, туризм.\n\nОсобливості: \r\n\t- легка\r\n\t- тепла\r\n\t- гірськолижна\r\n\t- м'який внутрішній комір для підвищення комфорту\r\n\t- водонепроникна передня блискавка\r\n\t- кишеня для скі-пасу\r\n\t- 2 кишені з водонепроникною блискавкою\r\n\t- практична і легкодоступна нагрудна кишеня з водонепроникною блискавкою\r\n\t- 2 внутрішні кишені на блискавці\r\n\t- рукави ергономічної форми\r\n\t- манжети, що регулюються липучкою\r\n\t- еластична система регулювання низу куртки\r\n\t- снігова спідниця\n\nТехнічні характеристики: \r\n\tМатеріал: Powertex Extreme 2L 10k/10k PL Stretch 110 (100% PL)\r\n\tПідкладка: PA Taffeta ECO DWR 67 BS (100%PA)\r\n\tПросочення: Durable Water Repellent – без PFC\r\n\tНаповнювач: Tirol Wool Responsive 80\r\n\tВага: 605г (розмір 50/L)\r\n\tДовжина спини: 76 cм (розмір 50/L)\n\nМатеріали й технології: \nPowertex - двошарова водонепроникна і дихаюча мембрана.\nTirol Wool\xa0- натуральний наповнювач (вовна), який володіє чудовими повітропроникними і теплоізоляційними властивостями.\r\n\t\xa0\n\n""]"
Куртка Salewa Antelao Beltovo Wms,9 459 грн7 567 грн,"[""\n\r\n\tУтеплена жіноча куртка для гірськолижного туризму від надійного бренду Salewa.\xa0Cтворена для захисту від негоди на підйомах та спусках. Стане вашою улюбленою курткою для катання на лижах або сноуборді.\n\r\n\tВона легка, еластична, добре тягнеться в 4 сторони та не сковує рухів, що важливо під час катання. Двошарова водонепроникна і дихаюча мембрана Powertex подарує комфорт під час негоди. Наповнювач - Tirol wool, усі шви спаяні.\n\r\n\tКапюшон утеплений, має вбудований м`який комір (також утеплений). Передня блискавка водонепроникна. Є дві кишені для рук, нагрудна кишеня, дві внутрішні кишені. Усі кишені з водонепроникними блискавками. Рукава ергономічної форми, манжети з липучками. Поділ регулюється, снігова спідниця Zip-off, за потреби, відчіпляється. Така куртка стане незамінною під час гірськолижного сезону.\n\r\n\tРекомендуємо використовувати зі штанами\xa0Salewa Antelao Beltovo Wms.\n\nПризначення: катання на лижах або сноуборді, туризм, зимові походи в гори.\n\nОсобливості: \r\n\t- легка\r\n\t- тепла\r\n\t- гірськолижна\r\n\t- м'який внутрішній комір для підвищення комфорту\r\n\t- водонепроникна передня блискавка\r\n\t- кишеня для скі-пасу\r\n\t- 2 кишені з водонепроникною блискавкою\r\n\t- практична і легкодоступна нагрудна кишеня з водонепроникною блискавкою\r\n\t- 2 внутрішні кишені на блискавці\r\n\t- рукави ергономічної форми\r\n\t- манжети, що регулюються липучкою\r\n\t- еластична система регулювання низу куртки\r\n\t- знімна снігова спідниця\n\nТехнічні характеристики: \r\n\tМатеріал: Powertex Extreme 2L 10k/10k PL Stretch 110 (100% PL)\r\n\tПідкладка: PA Taffeta ECO DWR 67 BS (100%PA)\r\n\tПросочення: Durable Water Repellent – без PFC\r\n\tНаповнювач: Tirol Wool Responsive 80\r\n\tВага: 600г (розмір M)\r\n\tДовжина спини: 71 cм (розмір 50/L)\n\nМатеріали й технології: \nPowertex - двошарова водонепроникна і дихаюча мембрана.\nTirol Wool\xa0- натуральний наповнювач (вовна), який володіє чудовими повітропроникними і теплоізоляційними властивостями.\r\n\t\xa0\n\n""]"
